,Unnamed: 0,YEAR,State_code,State,TopicType,Type of smoking,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,pct of young people,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder,Period
10,10,2015,LA,Louisiana,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,75.3,,,9.8,56.0,94.6,55.0,Overall,All Races,All Ages,Middle School,"(31.312660644, -92.445680071)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4,3.0
11,11,2008,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,1.0,,,0.3,0.5,1.5,1184.0,Male,All Races,All Ages,Middle School,"(40.793730152, -77.860700294)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9,2.0
12,12,2002,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,44.4,,,2.2,40.0,48.7,723.0,Male,All Races,All Ages,Middle School,"(37.645970271, -84.774971048)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8,1.0
13,13,2006,PA,Pennsylvania,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,6.2,,,0.8,4.6,7.8,716.0,Female,All Races,All Ages,Middle School,"(40.793730152, -77.860700294)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11,2.0
14,14,2003,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.6,,,0.4,0.0,1.3,1222.0,Female,All Races,All Ages,High School,"(39.360700171, -111.587130635)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12,1.0
15,15,2008,MN,Minnesota,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,Middle School,"(46.355648736, -94.794200503)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3,2.0
16,16,2009,LA,Louisiana,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,26.6,,,3.2,20.4,32.8,484.0,Male,All Races,All Ages,High School,"(31.312660644, -92.445680071)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11,2.0
17,17,2004,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,9.4,,,0.7,7.9,10.8,2226.0,Overall,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS11,11,1.0
18,18,2011,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,5.0,,,0.9,3.3,6.7,2084.0,Overall,All Races,All Ages,High School,"(41.56266102, -72.649840952)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS10,10,3.0
19,19,2011,NH,New Hampshire,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,41.2,,,4.0,33.4,49.0,185.0,Overall,All Races,All Ages,High School,"(43.655950113, -71.50036092)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1,3.0
20,20,2002,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,9.8,,,1.4,7.2,12.5,813.0,Male,All Races,All Ages,High School,"(42.27687047, -72.082690675)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9,1.0
21,21,2005,IL,Illinois,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,45.5,,,2.7,40.3,50.7,144.0,Male,All Races,All Ages,High School,"(40.485010283, -88.997710178)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5,2.0
22,22,2010,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,5.6,,,1.0,3.6,7.6,678.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9,2.0
23,23,2010,AR,Arkansas,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,6.9,,,0.7,5.5,8.3,2387.0,Overall,All Races,All Ages,Middle School,"(34.748650124, -92.274490743)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7,2.0
24,24,2007,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,7.2,,,0.8,5.6,8.8,1959.0,Overall,All Races,All Ages,High School,"(41.56266102, -72.649840952)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS09,9,2.0
25,25,2001,GA,Georgia,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,52.7,,,5.8,41.3,64.1,100.0,Female,All Races,All Ages,Middle School,"(32.839681093, -83.627580346)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6,1.0
26,26,2008,MN,Minnesota,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,14.8,,,1.5,11.8,17.8,2220.0,Overall,All Races,All Ages,Middle School,"(46.355648736, -94.794200503)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8,2.0
27,27,2004,IA,Iowa,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,42.9,,,4.6,34.0,51.9,85.0,Overall,All Races,All Ages,Middle School,"(42.469400913, -93.816490556)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1,1.0
28,28,2009,NC,North Carolina,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,41.3,,,2.6,36.2,46.4,444.0,Overall,All Races,All Ages,High School,"(35.466220975, -79.159250463)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1,2.0
29,29,2002,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,6.0,,,0.6,4.8,7.1,2619.0,Overall,All Races,All Ages,Middle School,"(41.56266102, -72.649840952)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11,1.0
30,30,2002,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,8.7,,,1.9,5.0,12.4,611.0,Female,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7,1.0
31,31,2007,NH,New Hampshire,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,12.4,,,1.5,9.4,15.4,757.0,Male,All Races,All Ages,High School,"(43.655950113, -71.50036092)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10,2.0
32,32,2006,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,0.6,,,0.3,0.1,1.1,947.0,Female,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10,2.0
33,33,2006,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,32.6,,,2.4,27.8,37.4,1294.0,Overall,All Races,All Ages,Middle School,"(33.998821303, -81.045371207)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8,2.0
34,34,2009,MS,Mississippi,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,49.1,,,4.4,40.4,57.8,146.0,Male,All Races,All Ages,High School,"(32.745510099, -89.538030825)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2,2.0
35,35,2010,IN,Indiana,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,2.0,,,0.5,1.1,2.9,1058.0,Female,All Races,All Ages,Middle School,"(39.766910452, -86.149960194)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11,2.0
36,36,2004,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,41.5,,,2.5,36.5,46.5,1290.0,Male,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8,1.0
37,37,2002,NC,North Carolina,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,66.9,,,6.0,55.2,78.6,239.0,Female,All Races,All Ages,Middle School,"(35.466220975, -79.159250463)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6,1.0
38,38,2007,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,6.8,,,1.1,4.7,8.9,1063.0,Female,All Races,All Ages,Middle School,"(47.475319779, -100.118421049)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7,2.0
39,39,2000,TN,Tennessee,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,18.2,,,0.9,16.4,19.9,10548.0,Overall,All Races,All Ages,Middle School,"(35.68094058, -85.774490914)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11,1.0
40,40,2003,UT,Utah,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(39.360700171, -111.587130635)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2,1.0
41,41,2000,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,65.7,,,1.4,62.9,68.4,1587.0,Male,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8,1.0
42,42,2004,NJ,New Jersey,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,40.3,,,4.2,32.1,48.6,170.0,Male,All Races,All Ages,High School,"(40.130570048, -74.273691288)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5,1.0
43,43,2011,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,45.3,,,2.3,40.7,49.9,973.0,Male,All Races,All Ages,High School,"(47.475319779, -100.118421049)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8,3.0
44,44,2002,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,3.2,,,0.7,1.9,4.6,1359.0,Male,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12,1.0
45,45,2013,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,1.4,,,0.4,0.6,2.2,809.0,Male,All Races,All Ages,Middle School,"(33.998821303, -81.045371207)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9,3.0
46,46,2014,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.1,,,0.1,0.0,0.3,2062.0,Overall,All Races,All Ages,Middle School,"(40.130570048, -74.273691288)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12,3.0
47,47,2013,HI,Hawaii,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,3.2,,,1.1,1.1,5.3,1038.0,Female,All Races,All Ages,Middle School,"(21.304850435, -157.857749403)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11,3.0
48,48,2013,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,24.8,,,2.8,19.4,30.2,1022.0,Male,All Races,All Ages,Middle School,"(38.665510202, -80.712640135)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8,3.0
49,49,2008,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,41.2,,,3.5,34.3,48.1,628.0,Female,All Races,All Ages,High School,"(42.469400913, -93.816490556)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8,2.0
50,50,2007,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,1.9,,,0.4,1.1,2.7,2036.0,Male,All Races,All Ages,High School,"(39.360700171, -111.587130635)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12,2.0
51,51,2003,RI,Rhode Island,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,7.2,,,0.8,5.7,8.8,1058.0,Female,All Races,All Ages,High School,"(41.708280193, -71.522470314)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11,1.0
52,52,2000,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,36.5,,,2.1,32.4,40.6,970.0,Female,All Races,All Ages,Middle School,"(34.86597028, -111.763811277)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8,1.0
53,53,2002,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,1.9,,,0.4,1.1,2.8,957.0,Male,All Races,All Ages,Middle School,"(42.27687047, -72.082690675)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9,1.0
54,54,2000,TN,Tennessee,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,1.9,,,0.3,1.3,2.5,5309.0,Female,All Races,All Ages,Middle School,"(35.68094058, -85.774490914)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10,1.0
55,55,2016,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,1.5,,,0.6,0.4,2.6,785.0,Female,All Races,All Ages,High School,"(32.745510099, -89.538030825)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10,3.0
56,56,2006,MS,Mississippi,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,37.6,,,5.9,26.1,49.1,58.0,Female,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3,2.0
57,57,2002,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,37.3,,,2.5,32.5,42.2,1939.0,Overall,All Races,All Ages,Middle School,"(35.472031356, -97.521070214)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8,1.0
58,58,2009,SC,South Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,2.7,,,0.8,1.2,4.2,1074.0,Overall,All Races,All Ages,High School,"(33.998821303, -81.045371207)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12,2.0
59,59,2002,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,1.7,,,0.6,0.5,2.9,699.0,Female,All Races,All Ages,Middle School,"(38.3477403, -98.200781227)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9,1.0
60,60,2009,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,4.5,,,1.0,2.6,6.4,995.0,Female,All Races,All Ages,High School,"(32.839681093, -83.627580346)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9,2.0
61,61,2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,0.2,,,0.1,0.0,0.5,1286.0,Male,All Races,All Ages,Middle School,"(40.793730152, -77.860700294)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9,3.0
62,62,2012,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,15.9,,,1.7,12.6,19.2,889.0,Male,All Races,All Ages,High School,"(40.130570048, -74.273691288)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11,3.0
63,63,2005,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,25.6,,,3.4,19.0,32.2,544.0,Female,All Races,All Ages,Middle School,"(47.475319779, -100.118421049)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8,2.0
64,64,2013,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,0.4,,,0.2,0.0,0.8,893.0,Female,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9,3.0
65,65,2001,ID,Idaho,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,4.8,,,0.6,3.6,6.0,922.0,Male,All Races,All Ages,Middle School,"(43.682630005, -114.363730042)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10,1.0
66,66,2003,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,26.3,,,1.8,22.7,29.9,1638.0,Overall,All Races,All Ages,High School,"(47.475319779, -100.118421049)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7,1.0
67,67,2001,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,2.1,,,0.3,1.4,2.7,1883.0,Male,All Races,All Ages,High School,"(40.130570048, -74.273691288)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12,1.0
68,68,2009,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,9.6,,,1.8,6.1,13.1,890.0,Male,All Races,All Ages,High School,"(35.472031356, -97.521070214)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12,2.0
69,69,2004,WI,Wisconsin,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3,1.0
70,70,2009,SC,South Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,1.2,,,0.3,0.6,1.8,1314.0,Overall,All Races,All Ages,Middle School,"(33.998821303, -81.045371207)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12,2.0
71,71,2013,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,3.4,,,0.5,2.4,4.4,1975.0,Overall,All Races,All Ages,Middle School,"(47.475319779, -100.118421049)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7,3.0
72,72,2000,TX,Texas,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,2.8,,,0.9,1.2,4.5,2260.0,Overall,All Races,All Ages,High School,"(31.827240407, -99.426770206)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12,1.0
73,73,2000,VT,Vermont,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,41.1,,,4.2,32.7,49.4,130.0,Overall,All Races,All Ages,Middle School,"(43.625381239, -72.517640791)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1,1.0
74,74,2000,CA,California,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,5.9,,,1.4,3.2,8.5,1434.0,Female,All Races,All Ages,High School,"(37.638640123, -120.999999538)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11,1.0
75,75,2005,UT,Utah,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,10.3,,,1.7,7.0,13.6,3244.0,Overall,All Races,All Ages,High School,"(39.360700171, -111.587130635)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7,2.0
76,76,2000,WV,West Virginia,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,14.9,,,1.5,12.0,17.8,853.0,Male,All Races,All Ages,Middle School,"(38.665510202, -80.712640135)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10,1.0
77,77,2000,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,52.0,,,1.8,48.5,55.5,1549.0,Overall,All Races,All Ages,Middle School,"(35.472031356, -97.521070214)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8,1.0
78,78,1999,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,2.8,,,0.6,1.7,3.9,1029.0,Male,All Races,All Ages,Middle School,"(35.472031356, -97.521070214)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12,1.0
79,79,2005,AR,Arkansas,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,2.6,,,0.6,1.5,3.7,1059.0,Female,All Races,All Ages,Middle School,"(34.748650124, -92.274490743)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10,2.0
80,80,2002,OH,Ohio,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,1.2,,,0.6,0.1,2.4,779.0,Male,All Races,All Ages,Middle School,"(40.060210141, -82.404260056)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12,1.0
81,81,2006,WI,Wisconsin,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,59.0,,,4.8,49.6,68.4,142.0,Female,All Races,All Ages,High School,"(44.393191174, -89.816370742)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6,2.0
82,82,2002,AL,Alabama,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,55.0,,,6.5,42.2,67.7,144.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6,1.0
